1,Pennsylvania,367.61,0.69,0.31,0.36,"Apple - Delicious, Red",0.85
2,California,805.25,0.11,0.41,0.77,Steam Pan - Half Size Deep,0.1
3,Texas,807.47,0.34,0.18,0.52,Spring Roll Veg Mini,0.7
4,California,132.33,0.8,0.15,0.35,Bagels Poppyseed,0.81
5,Virginia,695.89,0.48,0.41,0.01,"Stock - Veal, White",0.66
6,Pennsylvania,768.61,0.4,0.6,0.69,Cilantro / Coriander - Fresh,0.56
7,Virginia,356.63,0.97,0.25,0.45,Egg - Salad Premix,0.73
8,New York,826.91,0.11,0.46,0.69,Wine - Pinot Noir Pond Haddock,0.23
9,Colorado,542.93,0.28,0.18,0.77,Wasabi Powder,0.46
10,Nevada,584.26,0.24,0.89,0.57,Lettuce - Lolla Rosa,0.07
11,Kansas,868.87,0.18,0.66,0.13,Cookie Dough - Double,0.4
12,Arizona,726.81,0.04,0.32,0.18,Dr. Pepper - 355ml,0.88
13,Kansas,991.83,0.22,0.98,0.73,Rappini - Andy Boy,0.12
14,Maryland,942.42,0.24,0.93,0.18,Arctic Char - Fillets,0.92
15,Georgia,976.76,0.2,0.42,0.06,Island Oasis - Lemonade,0.84
16,New York,455.97,0.55,0.38,0.96,"Wine - Red, Lurton Merlot De",0.03
17,Florida,507.55,0.77,0.67,0.03,Lentils - Green Le Puy,0.02
18,Kentucky,553.06,0.12,0.15,0.75,"Shrimp - 16/20, Iqf, Shell On",0.37
19,Ohio,731.81,0.49,0.63,0.28,Wine - Winzer Krems Gruner,0.32
20,Virginia,968.46,0.42,0.43,0.2,Cookies - Assorted,0.4
21,District of Columbia,813.09,0.74,0.32,0.03,"Olives - Green, Pitted",0.12
22,Minnesota,773.38,0.68,0.12,0.66,Aspic - Clear,0.17
23,South Dakota,622.14,0.81,0.95,0.47,Beer - Creemore,0.52
24,Louisiana,331.98,0.87,0.88,0.07,"Pepper - Red, Finger Hot",0.56
25,Texas,615.4,0.41,0.45,0.23,Noodles - Steamed Chow Mein,0.95
26,California,850.09,0.7,0.99,0.93,Potatoes - Mini White 3 Oz,0.36
27,Texas,305.91,0.85,0.83,0.08,Wine - Pinot Noir Stoneleigh,0.75
28,Indiana,395.5,0.24,0.13,0.85,Grapes - Green,0.68
29,Tennessee,651.89,0.58,0.63,0.57,Bagel - 12 Grain Preslice,0.55
30,District of Columbia,777.38,0.14,0.53,0.01,Bread Base - Toscano,0.95
31,California,242.73,0.07,0.41,0.88,Milk - Chocolate 250 Ml,0.43
32,Florida,522.22,0.11,0.85,0.43,Dc Hikiage Hira Huba,0.88
33,California,318.85,0.51,0.17,0.4,Snapple Lemon Tea,0.74
34,Tennessee,429.06,0.15,0.26,0.06,"Wine - Bourgogne 2002, La",0.81
35,Illinois,312.45,0.42,0.26,0.11,Longos - Penne With Pesto,0.71
36,Florida,683.99,0.04,0.14,0.14,Wine - Chardonnay Mondavi,0.62
37,Ohio,858.25,0.16,0.25,0.09,"Coffee - Colombian, Portioned",0.54
38,Indiana,585.23,0.57,0.88,0.1,"Nut - Chestnuts, Whole",0.17
39,New York,651.08,0.66,0.0,0.59,Foil Cont Round,0.05
40,District of Columbia,720.74,0.17,0.64,0.72,Peach - Halves,0.53
41,New York,807.19,0.76,0.26,0.42,"Shrimp - Baby, Cold Water",0.72
42,Delaware,328.85,0.12,0.53,0.24,"Artichoke - Hearts, Canned",0.56
43,District of Columbia,924.81,0.19,0.11,0.61,Flour - Bread,0.24
44,Pennsylvania,356.95,0.87,0.1,0.34,Chicken - Tenderloin,0.98
45,New York,542.44,0.34,0.21,0.33,Wine - Cousino Macul Antiguas,0.09
46,Indiana,196.1,0.38,1.0,0.55,"Carrots - Purple, Organic",0.68
47,Texas,736.28,0.63,0.84,0.87,Glass Clear 7 Oz Xl,0.87
48,California,209.66,0.93,0.28,0.13,Bread Bowl Plain,0.48
49,District of Columbia,970.44,0.17,0.01,0.79,Cheese - Marble,0.18
50,Maryland,909.71,0.52,0.15,0.93,Pastry - Banana Tea Loaf,0.99
51,District of Columbia,425.6,0.64,0.5,0.1,Cake Sheet Combo Party Pack,0.67
52,New York,702.0,0.32,0.55,0.52,"Salmon - Atlantic, Skin On",0.3
53,District of Columbia,556.13,0.75,0.08,0.58,Cookies - Assorted,0.18
54,Missouri,350.04,0.38,0.63,0.9,"Crush - Orange, 355ml",0.95
55,Illinois,999.64,0.87,0.02,0.07,Chip - Potato Dill Pickle,0.2
56,Georgia,157.64,0.89,0.67,0.95,Wine - Fontanafredda Barolo,0.8
57,Texas,737.77,0.07,0.39,0.28,"Rum - White, Gg White",0.96
58,Indiana,985.83,0.97,0.11,0.57,Sponge Cake Mix - Chocolate,0.65
59,Florida,284.09,0.48,0.78,0.31,"Turkey - Breast, Double",0.12
60,Nevada,228.86,0.49,0.79,0.44,"Hickory Smoke, Liquid",0.86
