1,Kentucky,588,0,0,1,Eggs - Extra Large,0
2,Illinois,154,0,1,0,Kiwano,1
3,Florida,675,1,1,0,Extract - Rum,1
4,Florida,621,1,1,0,Wine - Prem Select Charddonany,1
5,Oklahoma,577,1,1,0,Beer - Steamwhistle,0
6,Florida,411,1,0,1,Muffin Mix - Corn Harvest,0
7,Washington,754,1,0,1,Praline Paste,0
8,Colorado,472,0,1,0,"Chicken - Wings, Tip Off",1
9,Florida,988,0,0,0,Tomato Paste,0
10,Colorado,289,0,1,0,Bread - Sour Batard,1
11,Texas,157,1,1,1,Tarragon - Fresh,1
12,Illinois,891,1,1,1,Sauce - Alfredo,0
13,Ohio,783,0,1,1,"Vodka - Lemon, Absolut",1
14,California,237,0,0,1,Mushroom - King Eryingii,1
15,Pennsylvania,513,0,0,1,Soup - Campbells Tomato Ravioli,1
16,New Mexico,114,0,1,0,Cake - Dulce De Leche,1
17,District of Columbia,563,0,0,1,Sorrel - Fresh,0
18,Florida,951,0,1,1,Coffee - Almond Amaretto,1
19,Georgia,311,1,1,0,Glaze - Clear,0
20,Delaware,403,0,0,0,Juice - Mango,0
21,Florida,544,0,1,0,Muffins - Assorted,1
22,Minnesota,669,1,1,0,Turkey Leg With Drum And Thigh,1
23,Washington,942,1,0,0,"Crab - Claws, Snow 16 - 24",0
24,Texas,818,1,1,1,Pike - Frozen Fillet,1
25,Utah,509,1,0,1,Veal - Inside,0
26,North Carolina,828,0,1,1,Schnappes Peppermint - Walker,1
27,Colorado,750,1,1,1,Shrimp - Black Tiger 13/15,1
28,Massachusetts,906,0,1,0,Salad Dressing,1
29,Texas,165,1,1,1,Cherries - Fresh,1
30,California,754,1,1,1,"Extract - Vanilla,artificial",1
31,District of Columbia,380,0,0,1,Kale - Red,0
32,Pennsylvania,189,1,1,0,Beef - Top Butt,1
33,South Carolina,786,1,0,0,Meldea Green Tea Liquor,0
34,Tennessee,200,1,1,1,"Cheese - Brie, Cups 125g",0
35,Utah,779,0,0,0,Soup - Campbells - Chicken Noodle,1
36,California,759,1,1,1,Veal - Inside,0
37,Ohio,351,0,0,1,Apple - Royal Gala,0
38,Louisiana,962,1,1,0,Green Scrubbie Pad H.duty,1
39,Massachusetts,970,0,1,0,Cheese - Goat With Herbs,0
40,District of Columbia,784,1,1,0,Sugar - Monocystal / Rock,0
41,New York,900,0,0,0,Bread - Corn Muffaleta Onion,0
42,Oklahoma,217,1,1,0,Apples - Sliced / Wedge,1
43,Virginia,344,1,1,1,Sun - Dried Tomatoes,0
44,Texas,720,0,1,0,"Asparagus - White, Fresh",0
45,Kentucky,890,1,1,0,"Juice - Orange, 341 Ml",1
46,Ohio,760,1,1,0,Beer - Pilsner Urquell,1
47,Tennessee,909,0,1,1,Bread - Rosemary Focaccia,0
48,Texas,144,1,0,1,Dip - Tapenade,0
49,Alabama,291,1,0,0,Wine - Magnotta - Cab Franc,1
50,Texas,733,1,1,1,Apple - Royal Gala,0
51,Indiana,612,0,0,1,Bag - Regular Kraft 20 Lb,0
52,Pennsylvania,212,0,0,0,Juice - Apple Cider,1
53,Georgia,986,1,0,1,Yogurt - Assorted Pack,0
54,California,337,1,1,1,Ketchup - Tomato,0
55,Pennsylvania,643,0,0,0,Tomato - Plum With Basil,1
56,Texas,652,1,0,1,"Pepper - White, Ground",1
57,Ohio,302,0,1,1,Marjoram - Fresh,0
58,New York,224,0,1,0,Pastry - Chocolate Marble Tea,0
59,Texas,432,1,0,0,Snails - Large Canned,0
60,Texas,227,0,1,0,Squeeze Bottle,1
61,Florida,545,1,1,0,"Nestea - Ice Tea, Diet",1
62,Michigan,200,1,0,1,Sugar - White Packet,1
63,Oklahoma,303,0,0,0,Venison - Striploin,1
64,Ohio,622,0,1,1,Ice Cream Bar - Oreo Sandwich,0
65,Missouri,919,1,1,1,Asparagus - Mexican,1
66,Arizona,157,1,0,1,Bacardi Breezer - Strawberry,1
67,Maryland,193,1,0,0,"Mushrooms - Black, Dried",1
68,South Carolina,256,1,0,1,Bag Clear 10 Lb,1
69,Kansas,413,1,1,0,Vinegar - Cider,1
70,Nevada,411,0,0,0,Wine - Prosecco Valdobienne,1
71,Louisiana,636,1,0,0,Cup - Translucent 7 Oz Clear,1
72,Texas,219,1,0,0,Wine - Chateauneuf Du Pape,1
73,Alabama,641,0,1,1,Pie Shells 10,0
74,Illinois,199,0,0,1,Pepper - Sorrano,1
75,Pennsylvania,252,1,0,0,Sauerkraut,1
76,Kansas,295,0,0,0,"Napkin - Cocktail,beige 2 - Ply",1
77,Pennsylvania,914,0,1,1,Glucose,1
78,Texas,769,0,1,0,"Turkey - Breast, Bone - In",0
79,North Carolina,989,1,1,1,"Garlic - Primerba, Paste",1
80,West Virginia,851,1,1,1,"Mushroom - Chanterelle, Dry",1
81,New York,817,0,1,0,"Soup - Knorr, Classic Can. Chili",0
82,California,332,1,1,1,Mushroom Morel Fresh,1
83,California,173,0,0,0,Cake - Mini Potato Pancake,1
84,Florida,457,1,0,1,Cookie Double Choco,0
85,Arizona,718,1,0,0,Bar Bran Honey Nut,1
86,Georgia,310,0,0,0,Muffin Mix - Oatmeal,1
87,Georgia,460,0,0,0,Pea - Snow,1
88,California,381,1,1,1,Sauce - Vodka Blush,1
89,California,414,0,0,0,Beef Striploin Aaa,0
90,New York,914,1,1,1,Dried Peach,1
91,North Dakota,333,0,1,1,Bag - Regular Kraft 20 Lb,1
92,California,111,1,0,0,Ice Cream Bar - Rolo Cone,1
93,California,207,0,1,0,Sauce - Ranch Dressing,1
94,Tennessee,118,0,0,1,"Artichoke - Hearts, Canned",1
95,Michigan,382,1,1,1,"Iced Tea - Lemon, 340ml",0
96,Kentucky,145,1,1,0,Chicken - Bones,0
97,Illinois,603,0,0,0,Bay Leaf Ground,0
98,Alabama,753,0,0,1,Soupfoamcont12oz 112con,0
99,District of Columbia,807,1,1,1,Versatainer Nc - 8288,0
100,Texas,674,1,0,0,Sauce - Hollandaise,1
101,California,566,1,1,0,Kohlrabi,0
102,Texas,810,1,1,1,Chocolate - Dark Callets,1
103,Washington,123,0,1,1,Pecan Raisin - Tarts,1
104,Texas,169,0,1,1,Tea - Herbal Sweet Dreams,1
105,Iowa,601,1,1,0,Fruit Salad Deluxe,1
106,Ohio,720,1,1,0,Guava,1
107,Texas,721,1,0,0,Corn Meal,1
108,Alaska,372,0,0,0,"Fish - Base, Bouillion",0
109,Colorado,788,0,1,1,"Tart Shells - Savory, 3",0
110,North Carolina,549,0,0,1,Liners - Baking Cups,0
111,Connecticut,239,1,1,0,The Pop Shoppe - Root Beer,1
112,Texas,300,0,0,0,Lime Cordial - Roses,1
113,Texas,951,0,1,1,Pie Filling - Pumpkin,0
114,California,602,0,1,1,Soup Campbells Split Pea And Ham,0
115,New York,181,0,0,1,"Yogurt - Cherry, 175 Gr",0
116,Indiana,431,0,1,0,Muffin - Bran Ind Wrpd,1
117,Iowa,485,1,0,0,Muffin Batt - Choc Chk,1
118,California,571,1,0,1,Lobster - Canned Premium,0
119,Texas,737,1,0,1,"Zucchini - Mini, Green",1
120,Indiana,262,1,1,1,Bagelers - Cinn / Brown,1
121,Florida,573,0,1,1,Muffin Orange Individual,1
122,Minnesota,310,1,1,0,Ice Cream - Life Savers,1
123,Texas,792,1,0,0,Lotus Rootlets - Canned,0
124,Montana,220,0,0,1,Alize Red Passion,0
125,California,837,0,0,1,Pumpkin - Seed,1
126,Illinois,592,1,1,1,"Cheese - Boursin, Garlic / Herbs",0
127,Iowa,945,1,0,1,Creme De Menth - White,0
128,Georgia,277,1,0,0,"Soup - Knorr, Ministrone",0
129,Nevada,596,1,1,1,Tea - Earl Grey,0
130,Missouri,293,0,0,1,"Vermacelli - Sprinkles, Assorted",0
131,Alabama,949,1,0,0,Chinese Foods - Chicken Wing,0
132,Missouri,731,0,1,1,"Soup - Knorr, French Onion",1
133,Massachusetts,383,0,0,1,Grapes - Red,1
134,Pennsylvania,712,0,1,1,White Baguette,1
135,Louisiana,461,1,0,1,Chicken - Tenderloin,1
136,Nebraska,565,0,0,0,Tomatoes - Heirloom,0
137,Texas,155,1,0,0,Fudge - Chocolate Fudge,1
138,Georgia,536,1,0,1,Soup - Campbells Chili Veg,1
139,Washington,229,1,0,0,Tofu - Soft,1
140,Idaho,371,1,1,1,Goulash Seasoning,1
141,Tennessee,473,1,0,0,Broom - Push,0
142,Ohio,654,0,0,1,Ostrich - Prime Cut,1
143,Texas,230,0,1,0,Gatorade - Fruit Punch,1
144,Illinois,1000,0,1,0,Edible Flower - Mixed,0
145,Arkansas,670,0,0,0,Tea - Camomele,1
146,Texas,517,0,0,0,"Pasta - Penne, Rigate, Dry",1
147,Ohio,305,0,1,0,Honey - Lavender,0
148,Ohio,439,0,1,0,Beef - Salted,1
149,Pennsylvania,238,1,0,0,Carbonated Water - Orange,0
